cluster,ad_group,keyword,match_type,intent,ads_priority,volume_signal,notes
1-Lovable-Issues,AG-LOV-Hire,fix lovable app,Phrase,Hire,P1,Unverified-A,Fiverr/Upwork gigs bán đúng cụm này
1-Lovable-Issues,AG-LOV-Hire,lovable developer for hire,Phrase,Hire,P1,Unverified-A,
1-Lovable-Issues,AG-LOV-Hire,lovable developer,Phrase,Hire,P1,Unverified-A,
1-Lovable-Issues,AG-LOV-Hire,hire lovable developer,Exact,Hire,P1,Unverified-A,
1-Lovable-Issues,AG-LOV-Hire,lovable freelancer,Phrase,Hire,P2,Unverified-B,
1-Lovable-Issues,AG-LOV-Hire,lovable app development service,Phrase,Hire,P1,Unverified-B,
1-Lovable-Issues,AG-LOV-Hire,take my lovable app to production,Phrase,Hire,P1,Unverified-B,
1-Lovable-Issues,AG-LOV-Hire,lovable app production ready,Phrase,Hire,P1,Unverified-B,
1-Lovable-Issues,AG-LOV-Hire,finish my lovable app,Phrase,Hire,P2,Unverified-C,
1-Lovable-Issues,AG-LOV-Hire,lovable app agency,Phrase,Hire,P2,Unverified-C,
1-Lovable-Issues,AG-LOV-Domain,lovable custom domain not working,Phrase,Fix,P2,Unverified-A,5+ site đang rank; intent fix free không phải mua
1-Lovable-Issues,AG-LOV-Domain,lovable custom domain,Phrase,Fix,P2,Unverified-A,
1-Lovable-Issues,AG-LOV-Domain,lovable custom domain dns,Phrase,Fix,P3,Unverified-A,
1-Lovable-Issues,AG-LOV-Domain,lovable ssl certificate,Phrase,Fix,P3,Unverified-A,Lovable có FAQ page riêng
1-Lovable-Issues,AG-LOV-Domain,lovable domain setup,Phrase,Fix,P3,Unverified-B,
1-Lovable-Issues,AG-LOV-Domain,lovable dns records,Phrase,Fix,P3,Unverified-B,
1-Lovable-Issues,AG-LOV-Deploy,lovable deployment failed,Phrase,Fix,P2,Unverified-A,
1-Lovable-Issues,AG-LOV-Deploy,lovable not working,Phrase,Fix,P2,Unverified-A,
1-Lovable-Issues,AG-LOV-Deploy,lovable app not working,Phrase,Fix,P2,Unverified-A,
1-Lovable-Issues,AG-LOV-Deploy,lovable preview vs production,Phrase,Fix,P2,Unverified-A,
1-Lovable-Issues,AG-LOV-Deploy,lovable environment variables not working,Phrase,Fix,P3,Unverified-A,
1-Lovable-Issues,AG-LOV-Deploy,lovable deploy to vercel,Phrase,Fix,P3,Unverified-A,
1-Lovable-Issues,AG-LOV-Deploy,lovable hosting,Phrase,Research,P2,Unverified-A,
1-Lovable-Issues,AG-LOV-Deploy,lovable hosting cost,Phrase,Research,P2,Unverified-A,
1-Lovable-Issues,AG-LOV-Deploy,self host lovable app,Phrase,Decision,P2,Unverified-B,
1-Lovable-Issues,AG-LOV-Deploy,lovable app slow,Phrase,Fix,P3,Unverified-B,
1-Lovable-Issues,AG-LOV-Supabase,lovable supabase,Phrase,Research,P2,Unverified-A,
1-Lovable-Issues,AG-LOV-Supabase,lovable supabase error,Phrase,Fix,P2,Unverified-A,
1-Lovable-Issues,AG-LOV-Supabase,lovable login not working,Phrase,Fix,P2,Unverified-A,
1-Lovable-Issues,AG-LOV-Supabase,lovable authentication not working,Phrase,Fix,P2,Unverified-B,
1-Lovable-Issues,AG-LOV-Supabase,lovable oauth redirect localhost,Phrase,Fix,P3,Unverified-A,
1-Lovable-Issues,AG-LOV-Supabase,lovable database,Phrase,Research,P3,Unverified-A,
1-Lovable-Issues,AG-LOV-Supabase,lovable database not saving,Phrase,Fix,P3,Unverified-B,
1-Lovable-Issues,AG-LOV-Supabase,lovable supabase rls,Phrase,Security,P2,Unverified-A,Cầu nối sang cụm 3
1-Lovable-Issues,AG-LOV-Stripe,lovable stripe integration,Phrase,Fix,P1,Unverified-A,Dẫn thẳng tới gói payments
1-Lovable-Issues,AG-LOV-Stripe,lovable stripe not working,Phrase,Fix,P1,Unverified-A,
1-Lovable-Issues,AG-LOV-Stripe,add stripe to lovable,Phrase,How-to,P2,Unverified-A,
1-Lovable-Issues,AG-LOV-Stripe,lovable payments setup,Phrase,How-to,P2,Unverified-B,
1-Lovable-Issues,AG-LOV-Stripe,lovable stripe webhook,Phrase,Fix,P3,Unverified-B,
1-Lovable-Issues,AG-LOV-Stripe,lovable stripe checkout,Phrase,Fix,P3,Unverified-B,
1-Lovable-Issues,AG-LOV-Stripe,lovable mollie,Phrase,How-to,P2,Unverified-B,NL-specific; không đối thủ
1-Lovable-Issues,AG-LOV-Stripe,lovable ideal payment,Phrase,How-to,P2,Unverified-B,NL-specific
1-Lovable-Issues,AG-LOV-Export,lovable export code,Phrase,How-to,P2,Unverified-A,Kho chỉ có 2 slug export
1-Lovable-Issues,AG-LOV-Export,export lovable project,Phrase,How-to,P2,Unverified-A,
1-Lovable-Issues,AG-LOV-Export,download lovable code,Phrase,How-to,P3,Unverified-A,
1-Lovable-Issues,AG-LOV-Export,lovable github sync,Phrase,Fix,P3,Unverified-A,
1-Lovable-Issues,AG-LOV-Export,migrate off lovable,Phrase,Decision,P1,Unverified-A,Intent thương mại cao
1-Lovable-Issues,AG-LOV-Export,lovable to nextjs,Phrase,How-to,P2,Unverified-B,
1-Lovable-Issues,AG-LOV-Export,lovable alternative,Phrase,Decision,P2,Unverified-B,
1-Lovable-Issues,AG-LOV-Export,lovable vendor lock in,Phrase,Decision,P3,Unverified-B,
1-Lovable-Issues,AG-LOV-Export,lovable credits,Phrase,Cost,P2,Unverified-A,0 slug trong kho
1-Lovable-Issues,AG-LOV-Export,lovable pricing,Phrase,Cost,P3,Unverified-A,
2-Vibe-Coding,AG-VIBE-Core,vibe coding,Phrase,Research,P3,95000-global-Jul2026,Volume cao nhưng intent nghiên cứu; đắt cho ads
2-Vibe-Coding,AG-VIBE-Core,vibe coding to production,Phrase,Decision,P1,Unverified-A,Định vị lõi LaunchStudio
2-Vibe-Coding,AG-VIBE-Core,vibe coded app production,Phrase,Decision,P1,Unverified-B,
2-Vibe-Coding,AG-VIBE-Core,vibe coding problems,Phrase,Research,P3,Unverified-B,
2-Vibe-Coding,AG-VIBE-Core,vibe coding security,Phrase,Security,P2,Unverified-A,
2-Vibe-Coding,AG-VIBE-Core,vibe coding limitations,Phrase,Research,P3,Unverified-C,
2-Vibe-Coding,AG-VIBE-Hire,hire vibe coding developer,Phrase,Hire,P1,Unverified-A,
2-Vibe-Coding,AG-VIBE-Hire,vibe coding agency,Phrase,Hire,P1,Unverified-B,
2-Vibe-Coding,AG-VIBE-Hire,fix my vibe coded app,Phrase,Hire,P1,Unverified-A,
2-Vibe-Coding,AG-VIBE-Hire,vibe coding help,Phrase,Hire,P2,Unverified-B,
2-Vibe-Coding,AG-VIBE-Hire,vibe coding consultant,Phrase,Hire,P2,Unverified-C,
2-Vibe-Coding,AG-VIBE-Hire,vibe coding development service,Phrase,Hire,P1,Unverified-B,
2-Vibe-Coding,AG-VIBE-Bolt,bolt ai,Phrase,Research,P3,1300-GKP-Jun2026,Volume cao nhất trong CSV repo; intent rộng
2-Vibe-Coding,AG-VIBE-Bolt,bolt new not working,Phrase,Fix,P2,Unverified-A,
2-Vibe-Coding,AG-VIBE-Bolt,bolt new deployment,Phrase,Fix,P3,Unverified-A,
2-Vibe-Coding,AG-VIBE-Bolt,fix bolt app,Phrase,Hire,P1,Unverified-A,Có site bán dịch vụ riêng
2-Vibe-Coding,AG-VIBE-Bolt,bolt new production error,Phrase,Fix,P3,Unverified-A,
2-Vibe-Coding,AG-VIBE-Bolt,bolt new supabase,Phrase,How-to,P3,Unverified-B,
2-Vibe-Coding,AG-VIBE-Bolt,bolt app developer,Phrase,Hire,P2,Unverified-B,
2-Vibe-Coding,AG-VIBE-Replit,replit not working,Phrase,Fix,P3,Unverified-A,
2-Vibe-Coding,AG-VIBE-Replit,replit deployment failed,Phrase,Fix,P3,Unverified-A,
2-Vibe-Coding,AG-VIBE-Replit,replit agent not working,Phrase,Fix,P3,Unverified-A,
2-Vibe-Coding,AG-VIBE-Replit,replit export to vercel,Phrase,How-to,P3,Unverified-A,
2-Vibe-Coding,AG-VIBE-Replit,replit app to production,Phrase,Hire,P2,Unverified-B,
2-Vibe-Coding,AG-VIBE-Replit,fix replit app,Phrase,Hire,P1,Unverified-B,
2-Vibe-Coding,AG-VIBE-Cursor,cursor ai code quality,Phrase,Research,P3,Unverified-B,
2-Vibe-Coding,AG-VIBE-Cursor,cursor agent loop,Phrase,Fix,P3,Unverified-A,
2-Vibe-Coding,AG-VIBE-Cursor,cursor generated code review,Phrase,Security,P2,Unverified-C,
2-Vibe-Coding,AG-VIBE-Compare,lovable vs bolt,Phrase,Compare,P3,Unverified-A,Intent so sánh tool không phải mua dịch vụ
2-Vibe-Coding,AG-VIBE-Compare,lovable vs replit,Phrase,Compare,P3,Unverified-A,
2-Vibe-Coding,AG-VIBE-Compare,lovable vs cursor,Phrase,Compare,P3,Unverified-A,
2-Vibe-Coding,AG-VIBE-Compare,best vibe coding tool,Phrase,Compare,P3,Unverified-B,
3-Security-Cleanup,AG-SEC-Cleanup,vibe coding cleanup specialist,Phrase,Service,P1,Unverified-A,4+ agency có landing page riêng
3-Security-Cleanup,AG-SEC-Cleanup,vibe code cleanup,Phrase,Service,P1,Unverified-A,
3-Security-Cleanup,AG-SEC-Cleanup,vibe code audit,Phrase,Service,P1,Unverified-A,
3-Security-Cleanup,AG-SEC-Cleanup,vibe coding rescue,Phrase,Service,P1,Unverified-A,
3-Security-Cleanup,AG-SEC-Cleanup,clean up ai generated code,Phrase,Service,P2,Unverified-B,
3-Security-Cleanup,AG-SEC-Cleanup,refactor ai generated code,Phrase,Service,P2,Unverified-B,
3-Security-Cleanup,AG-SEC-Cleanup,fix ai generated code,Phrase,Service,P2,Unverified-B,
3-Security-Cleanup,AG-SEC-Cleanup,ai code cleanup service,Phrase,Service,P1,Unverified-B,
