campaign,brand,ad_group,keyword,match_type,intent,priority,evidence,notes,volume,competition,cpc_low,cpc_high
B1-Lovable,Lovable,AG-LOV-Hire,fix lovable app,Phrase,Hire,P1,Tier A,Fiverr/Upwork gigs bán đúng cụm này,0,,,
B1-Lovable,Lovable,AG-LOV-Hire,lovable developer for hire,Phrase,Hire,P1,Tier A,,0,,,
B1-Lovable,Lovable,AG-LOV-Hire,hire lovable developer,Exact,Hire,P1,Tier A,,10,,,
B1-Lovable,Lovable,AG-LOV-Hire,lovable developer,Phrase,Hire,P1,Tier A,,10,,,
B1-Lovable,Lovable,AG-LOV-Hire,lovable app development service,Phrase,Hire,P1,Tier B,,0,,,
B1-Lovable,Lovable,AG-LOV-Hire,lovable app agency,Phrase,Hire,P2,Tier C,,0,,,
B1-Lovable,Lovable,AG-LOV-Hire,lovable freelancer,Phrase,Hire,P2,Tier B,,10,,,
B1-Lovable,Lovable,AG-LOV-Hire,take my lovable app to production,Phrase,Hire,P1,Tier B,,0,,,
B1-Lovable,Lovable,AG-LOV-Hire,lovable app production ready,Phrase,Hire,P1,Tier B,,0,,,
B1-Lovable,Lovable,AG-LOV-Hire,finish my lovable app,Phrase,Hire,P2,Tier C,,0,,,
B1-Lovable,Lovable,AG-LOV-Hire,lovable audit service,Phrase,Service,P1,Tier B,,0,,,
B1-Lovable,Lovable,AG-LOV-Hire,lovable security audit,Phrase,Service,P1,Tier B,,0,,,
B1-Lovable,Lovable,AG-LOV-Problem,lovable app not working,Phrase,Fix,P2,Tier A,,0,,,
B1-Lovable,Lovable,AG-LOV-Problem,lovable not working,Phrase,Fix,P2,Tier A,,10,,,
B1-Lovable,Lovable,AG-LOV-Problem,lovable deployment failed,Phrase,Fix,P2,Tier A,,0,,,
B1-Lovable,Lovable,AG-LOV-Problem,lovable preview vs production,Phrase,Fix,P2,Tier A,,0,,,
B1-Lovable,Lovable,AG-LOV-Problem,lovable custom domain not working,Phrase,Fix,P2,Tier A,5+ site đang rank,10,,,
B1-Lovable,Lovable,AG-LOV-Problem,lovable stripe integration,Phrase,Fix,P1,Tier A,,10,,,
B1-Lovable,Lovable,AG-LOV-Problem,lovable stripe not working,Phrase,Fix,P1,Tier A,,0,,,
B1-Lovable,Lovable,AG-LOV-Problem,lovable login not working,Phrase,Fix,P2,Tier A,,0,,,
B1-Lovable,Lovable,AG-LOV-Problem,lovable supabase rls,Phrase,Security,P2,Tier A,,0,,,
B1-Lovable,Lovable,AG-LOV-Problem,lovable security vulnerabilities,Phrase,Research,P2,Tier A,,0,,,
B1-Lovable,Lovable,AG-LOV-Problem,is lovable secure,Phrase,Research,P2,Tier A,,10,,,
B1-Lovable,Lovable,AG-LOV-Migrate,migrate off lovable,Phrase,Decision,P1,Tier A,,0,,,
B1-Lovable,Lovable,AG-LOV-Migrate,lovable migration service,Phrase,Service,P1,Tier B,,0,,,
B1-Lovable,Lovable,AG-LOV-Migrate,lovable tanstack migration,Phrase,Service,P1,Tier A,nextlovable bán audit 299 USD,0,,,
B1-Lovable,Lovable,AG-LOV-Migrate,migrate lovable to tanstack,Phrase,Service,P1,Tier A,,0,,,
B1-Lovable,Lovable,AG-LOV-Migrate,lovable ssr upgrade,Phrase,Service,P1,Tier A,nextlovable bán audit 199 USD,0,,,
B1-Lovable,Lovable,AG-LOV-Migrate,lovable export code,Phrase,How-to,P2,Tier A,,10,,,
B1-Lovable,Lovable,AG-LOV-Migrate,self host lovable app,Phrase,Decision,P2,Tier B,,10,,,
B1-Lovable,Lovable,AG-LOV-Migrate,lovable to nextjs,Phrase,How-to,P2,Tier B,,10,,,
B1-Lovable,Lovable,AG-LOV-Migrate,lovable alternative,Phrase,Decision,P2,Tier B,,10,,,
B2-Bolt,Bolt,AG-BOLT-Hire,fix bolt app,Phrase,Hire,P1,Tier A,usamamoin.com bán dịch vụ riêng,0,,,
B2-Bolt,Bolt,AG-BOLT-Hire,fix bolt new app,Phrase,Hire,P1,Tier B,,0,,,
B2-Bolt,Bolt,AG-BOLT-Hire,bolt new developer,Phrase,Hire,P1,Tier B,,10,,,
B2-Bolt,Bolt,AG-BOLT-Hire,bolt app developer,Phrase,Hire,P2,Tier B,⚠️ rủi ro nhầm Bolt taxi,10,,,
B2-Bolt,Bolt,AG-BOLT-Hire,hire bolt new developer,Exact,Hire,P1,Tier C,,0,,,
B2-Bolt,Bolt,AG-BOLT-Hire,bolt new to production,Phrase,Service,P1,Tier B,,0,,,
B2-Bolt,Bolt,AG-BOLT-Hire,bolt new app production ready,Phrase,Service,P1,Tier C,,0,,,
B2-Bolt,Bolt,AG-BOLT-Hire,bolt new agency,Phrase,Hire,P2,Tier C,,0,,,
