campaign,brand,ad_group,keyword,match_type,intent,priority,evidence,notes,volume,competition,cpc_low,cpc_high
N1-NL-Service,Generic,AG-NL-MVP,mvp laten maken,Phrase,Hire,P1,Tier A,5+ bureaus NL co landing page rieng: Wiwi/Appfront/Agency6/Zedrox/Creatix. Co canh tranh = co volume.,50,,,
N1-NL-Service,Generic,AG-NL-MVP,mvp laten bouwen,Phrase,Hire,P1,Tier A,Bien the cua 'laten maken'. Google KHONG coi 2 tu nay la close variant -> phai add rieng.,0,,,
N1-NL-Service,Generic,AG-NL-MVP,mvp ontwikkeling,Phrase,Hire,P1,Tier A,zedrox.nl/mvp-ontwikkeling rank. Danh tu hoa = intent nghien cuu + thue.,30,,,
N1-NL-Service,Generic,AG-NL-MVP,mvp laten ontwikkelen,Phrase,Hire,P1,Tier B,"Bien the dai hon, CPC thuong re hon.",10,,,
N1-NL-Service,Generic,AG-NL-MVP,mvp bureau,Phrase,Hire,P2,Tier B,'bureau' = agency trong tieng Ha Lan.,0,,,
N1-NL-Service,Generic,AG-NL-MVP,minimum viable product laten maken,Phrase,Hire,P2,Tier C,"Long-tail, volume thap nhung intent tuyet doi.",0,,,
N1-NL-Service,Generic,AG-NL-App,app laten maken,Phrase,Hire,P1,Tier A,Volume cao nhat nhom. CANH BAO: lan voi app mobile/native -> can negative 'ios' 'android' 'native'.,480,,,
N1-NL-Service,Generic,AG-NL-App,app laten bouwen,Phrase,Hire,P1,Tier A,Bien the. Add rieng.,140,,,
N1-NL-Service,Generic,AG-NL-App,webapp laten bouwen,Phrase,Hire,P1,Tier B,'webapp' loc bot traffic mobile-native -> sach hon 'app laten maken'.,10,,,
N1-NL-Service,Generic,AG-NL-App,web applicatie laten bouwen,Phrase,Hire,P2,Tier B,"Viet tach 2 tu, bien the chinh ta pho bien.",10,,,
N1-NL-Service,Generic,AG-NL-App,webapplicatie laten maken,Phrase,Hire,P2,Tier B,Viet lien 1 tu. Ca 2 cach viet deu pho bien o NL.,260,,,
N1-NL-Service,Generic,AG-NL-App,saas laten bouwen,Phrase,Hire,P1,Tier B,Intent SaaS founder = ICP chinh xac cua LaunchStudio.,0,,,
N1-NL-Service,Generic,AG-NL-App,software laten maken,Phrase,Hire,P2,Tier A,"Volume cao nhung rong -> chi Phrase, theo doi search terms sat.",110,,,
N1-NL-Service,Generic,AG-NL-App,maatwerk software laten maken,Phrase,Hire,P2,Tier B,'maatwerk' = custom. Intent cao hon 'software laten maken' don thuan.,90,,,
N1-NL-Service,Generic,AG-NL-Afmaken,app laten afmaken,Phrase,Service,P1,Tier B,"'afmaken' = finish. DAY LA GOC PITCH cua LaunchStudio - khong phai xay moi, ma lam not.",0,,,
N1-NL-Service,Generic,AG-NL-Afmaken,prototype laten afmaken,Phrase,Service,P1,Tier B,Khop 1:1 voi dich vu. Volume thap nhung CPC re va close rate cao nhat.,0,,,
N1-NL-Service,Generic,AG-NL-Afmaken,onafgemaakte app afmaken,Phrase,Service,P2,Tier C,"Long-tail, gan nhu khong ai bid.",0,,,
N1-NL-Service,Generic,AG-NL-Afmaken,app afmaken freelancer,Phrase,Hire,P2,Tier C,Nguoi tim freelancer -> co the day len package €800.,0,,,
N1-NL-Service,Generic,AG-NL-Afmaken,developer inhuren app,Phrase,Hire,P2,Tier B,'inhuren' = hire. Bien the thue nguoi thay vi thue bureau.,20,,,
N1-NL-Service,Generic,AG-NL-Afmaken,freelance developer nederland,Phrase,Hire,P3,Tier B,Rong. Chi chay neu ngan sach con du sau khi P1/P2 da bao hoa.,0,,,
N1-NL-Service,Generic,AG-NL-Geo,app laten maken amsterdam,Phrase,Hire,P1,Tier B,"Geo-modifier: volume thap, CPC re, intent local cuc cao. LaunchStudio co VP Amsterdam.",20,,,
N1-NL-Service,Generic,AG-NL-Geo,app laten maken rotterdam,Phrase,Hire,P2,Tier C,Thanh pho lon thu 2.,20,,,
N1-NL-Service,Generic,AG-NL-Geo,app laten maken utrecht,Phrase,Hire,P2,Tier C,Hub startup.,10,,,
N1-NL-Service,Generic,AG-NL-Geo,app laten maken eindhoven,Phrase,Hire,P2,Tier C,Hub tech/deeptech (Brainport).,20,,,
N1-NL-Service,Generic,AG-NL-Geo,softwarebureau amsterdam,Phrase,Hire,P2,Tier C,Tim bureau theo dia diem.,0,,,
N1-NL-Service,Generic,AG-NL-Geo,mvp laten maken amsterdam,Phrase,Hire,P1,Tier C,Giao cua 2 keyword tot nhat: MVP + geo.,0,,,
N2-NL-AI-Tools,Multi,AG-NL-AI-Afmaken,ai app laten afmaken,Phrase,Service,P1,Tier C,GAN NHU KHONG AI BID. Volume rat thap nhung dung 100% intent. CPC se re.,0,,,
N2-NL-AI-Tools,Multi,AG-NL-AI-Afmaken,ai gebouwde app laten afmaken,Phrase,Service,P1,Tier C,Bien the mo ta 'app duoc AI xay'.,0,,,
N2-NL-AI-Tools,Multi,AG-NL-AI-Afmaken,ai prototype naar productie,Phrase,Service,P1,Tier C,Dich sat cua 'prototype to production' - pitch goc.,0,,,
N2-NL-AI-Tools,Multi,AG-NL-AI-Afmaken,van prototype naar productie,Phrase,Decision,P1,Tier C,CANH BAO: cum nay cung dung trong nganh manufacturing NL -> BAT BUOC ap negative list §6.3.,0,,,
N2-NL-AI-Tools,Multi,AG-NL-AI-Afmaken,app productieklaar maken,Phrase,Service,P1,Tier C,'productieklaar' = production-ready. Thuat ngu chuan NL.,0,,,
N2-NL-AI-Tools,Multi,AG-NL-AI-Afmaken,prototype niet live krijgen,Phrase,Fix,P2,Tier C,Dien ta noi dau bang tieng NL. Hiem nhung dung.,0,,,
N2-NL-AI-Tools,Multi,AG-NL-AI-Afmaken,vibe coding uitbesteden,Phrase,Service,P2,Tier C,'uitbesteden' = outsource. Thuat ngu 'vibe coding' giu nguyen tieng Anh trong NL.,0,,,
N2-NL-AI-Tools,Multi,AG-NL-AI-Afmaken,no code app laten afmaken,Phrase,Service,P2,Tier C,Nhieu founder NL goi Lovable/Bolt la 'no-code' du khong chinh xac.,0,,,
N2-NL-AI-Tools,Lovable,AG-NL-Lovable,lovable app laten maken,Phrase,Hire,P1,Tier C,Brand + NL service intent. Gan nhu chac chan 0 doi thu bid.,0,,,
