# Keyword Planner Report,,,,,,,,,,,,,,,,,,
# Date: 2026-06-12,,,,,,,,,,,,,,,,,,
# Query: manifera.com,,,,,,,,,,,,,,,,,,
# Total Keywords: 1595,,,,,,,,,,,,,,,,,,
"# Total Search Volume: 137,460",,,,,,,,,,,,,,,,,,
# Avg Competition: 12/100,,,,,,,,,,,,,,,,,,
# Avg Top Bid: $2.00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#,Keyword,Search Volume,Competition Index,Competition Level,Bid Low ($),Bid High ($),Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Jun 2026
1,software in software,49500,3,Low,0.66,6.39,33100,33100,40500,49500,49500,49500,49500,49500,40500,49500,49500,49500
2,dev ops,5400,27,Low,5.17,23,5400,5400,4400,6600,6600,6600,5400,5400,6600,6600,5400,4400
3,developer s,2900,14,Low,1.57,8.23,3600,2900,2400,2900,2900,2900,2400,2900,2400,2900,2400,2400
4,engineer in software,2900,30,Low,1.17,3.91,2900,2900,2900,4400,2900,2900,2400,2900,2400,2900,2400,2400
5,engineer software engineer,2900,30,Low,1.17,3.91,2900,2900,2900,4400,2900,2900,2400,2900,2400,2900,2400,2400
6,software engineer software,2900,30,Low,1.17,3.91,2900,2900,2900,4400,2900,2900,2400,2900,2400,2900,2400,2400
7,software engineer software engineer,2900,30,Low,1.17,3.91,2900,2900,2900,4400,2900,2900,2400,2900,2400,2900,2400,2400
8,software engineering,2900,30,Low,1.17,3.91,2900,2900,2900,4400,2900,2900,2400,2900,2400,2900,2400,2400
9,software software engineering,2900,30,Low,1.17,3.91,2900,2900,2900,4400,2900,2900,2400,2900,2400,2900,2400,2400
10,sw engineer,2900,30,Low,1.17,3.91,2900,2900,2900,4400,2900,2900,2400,2900,2400,2900,2400,2400
11,devs software,2400,40,Medium,1.75,6.89,2400,1900,1600,4400,2400,2400,1900,2400,2400,2400,1900,1900
12,software developer developer,2400,40,Medium,1.75,6.89,2400,1900,1600,4400,2400,2400,1900,2400,2400,2400,1900,1900
13,software devs,2400,40,Medium,1.75,6.89,2400,1900,1600,4400,2400,2400,1900,2400,2400,2400,1900,1900
14,software for developers,2400,40,Medium,1.75,6.89,2400,1900,1600,4400,2400,2400,1900,2400,2400,2400,1900,1900
15,software software developer,2400,40,Medium,1.75,6.89,2400,1900,1600,4400,2400,2400,1900,2400,2400,2400,1900,1900
16,app development,1300,31,Low,3.99,17,260,260,260,1300,2400,2900,1600,1900,2900,1900,210,170
17,application dev,1300,31,Low,3.99,17,260,260,260,1300,2400,2900,1600,1900,2900,1900,210,170
18,application development,1300,31,Low,3.99,17,260,260,260,1300,2400,2900,1600,1900,2900,1900,210,170
19,apps to develop,1300,31,Low,3.99,17,260,260,260,1300,2400,2900,1600,1900,2900,1900,210,170
20,dev application,1300,31,Low,3.99,17,260,260,260,1300,2400,2900,1600,1900,2900,1900,210,170
21,develop application,1300,31,Low,3.99,17,260,260,260,1300,2400,2900,1600,1900,2900,1900,210,170
22,software co,1300,8,Low,4.24,19.15,1600,1000,1600,2400,1300,1600,1000,1000,1300,1600,1300,1300
23,app development for mobile,880,2,Low,4.45,22.02,170,140,110,880,140,110,210,170,480,1000,1600,5400
24,app development on mobile,880,2,Low,4.45,22.02,170,140,110,880,140,110,210,170,480,1000,1600,5400
25,it software development,880,28,Low,4.39,11.77,1000,590,720,2400,1300,1000,720,880,720,880,390,590
26,mobile app application development,880,2,Low,4.45,22.02,170,140,110,880,140,110,210,170,480,1000,1600,5400
27,mobile app dev,880,2,Low,4.45,22.02,170,140,110,880,140,110,210,170,480,1000,1600,5400
28,mobile app developers,880,2,Low,4.45,22.02,170,140,110,880,140,110,210,170,480,1000,1600,5400
29,mobile app development,880,2,Low,4.45,22.02,170,140,110,880,140,110,210,170,480,1000,1600,5400
30,mobile application,880,11,Low,1.14,4.03,1600,880,1000,1300,880,720,590,720,480,590,1000,390
31,mobile application and development,880,2,Low,4.45,22.02,170,140,110,880,140,110,210,170,480,1000,1600,5400
32,mobile application dev,880,2,Low,4.45,22.02,170,140,110,880,140,110,210,170,480,1000,1600,5400
33,mobile application developers,880,2,Low,4.45,22.02,170,140,110,880,140,110,210,170,480,1000,1600,5400
34,mobile application development,880,2,Low,4.45,22.02,170,140,110,880,140,110,210,170,480,1000,1600,5400
35,mobile application platform,880,11,Low,1.14,4.03,1600,880,1000,1300,880,720,590,720,480,590,1000,390
36,mobile phone app development,880,2,Low,4.45,22.02,170,140,110,880,140,110,210,170,480,1000,1600,5400
37,mobile phone application development,880,2,Low,4.45,22.02,170,140,110,880,140,110,210,170,480,1000,1600,5400
38,soft dev,880,28,Low,4.39,11.77,1000,590,720,2400,1300,1000,720,880,720,880,390,590
39,software and development,880,28,Low,4.39,11.77,1000,590,720,2400,1300,1000,720,880,720,880,390,590
40,software development,880,28,Low,4.39,11.77,1000,590,720,2400,1300,1000,720,880,720,880,390,590
41,software in development,880,28,Low,4.39,11.77,1000,590,720,2400,1300,1000,720,880,720,880,390,590
42,software to develop,880,28,Low,4.39,11.77,1000,590,720,2400,1300,1000,720,880,720,880,390,590
43,ai developers,320,60,Medium,2.23,15.71,260,260,260,720,320,260,260,260,210,260,210,210
44,app developers,320,52,Medium,4.2,24.29,210,210,210,1300,320,210,390,320,320,260,210,210
45,app devs,320,52,Medium,4.2,24.29,210,210,210,1300,320,210,390,320,320,260,210,210
46,application developers,320,52,Medium,4.2,24.29,210,210,210,1300,320,210,390,320,320,260,210,210
47,app to build,260,74,High,2.96,9.94,170,210,210,390,260,260,170,320,320,210,260,210
48,co development software,170,48,Medium,9.3,29.52,90,260,70,880,140,70,50,110,210,70,90,40
49,development team,170,4,Low,2.39,13.78,170,170,110,590,170,140,140,170,140,140,140,110
50,development tooling,170,11,Low,2.84,11.15,170,110,140,210,170,140,170,170,170,210,140,170
51,development tools,170,11,Low,2.84,11.15,170,110,140,210,170,140,170,170,170,210,140,170
52,it companies software development,170,48,Medium,9.3,29.52,90,260,70,880,140,70,50,110,210,70,90,40
53,it software development company,170,48,Medium,9.3,29.52,90,260,70,880,140,70,50,110,210,70,90,40
54,software company development,170,48,Medium,9.3,29.52,90,260,70,880,140,70,50,110,210,70,90,40
55,software dev company,170,48,Medium,9.3,29.52,90,260,70,880,140,70,50,110,210,70,90,40
56,software development company,170,48,Medium,9.3,29.52,90,260,70,880,140,70,50,110,210,70,90,40
57,software development firm,170,48,Medium,9.3,29.52,90,260,70,880,140,70,50,110,210,70,90,40
58,software developer stages,140,53,Medium,1.09,2.27,140,90,90,170,140,170,170,210,140,110,90,140
59,software tools,140,57,Medium,1.4,6.38,90,70,90,390,210,90,110,210,140,140,110,110
60,tools & software,140,57,Medium,1.4,6.38,90,70,90,390,210,90,110,210,140,140,110,110
61,tools and software,140,57,Medium,1.4,6.38,90,70,90,390,210,90,110,210,140,140,110,110
62,developer tooling,110,20,Low,2.33,6.65,110,110,70,140,110,110,110,110,90,90,70,70
63,software and design,110,13,Low,1.8,6.22,110,110,70,210,140,170,110,110,90,110,90,90
64,software design,110,13,Low,1.8,6.22,110,110,70,210,140,170,110,110,90,110,90,90
65,software design software,110,13,Low,1.8,6.22,110,110,70,210,140,170,110,110,90,110,90,90
66,software services,110,48,Medium,3.5,10.8,70,70,70,480,140,110,70,90,90,70,90,70
67,app software,90,27,Low,3.13,8.04,110,70,90,210,110,70,70,90,90,90,110,70
68,application software,90,27,Low,3.13,8.04,110,70,90,210,110,70,70,90,90,90,110,70
69,software plan,90,24,Low,5.86,17.39,90,40,40,320,70,20,20,90,50,110,50,70
70,software stack,90,7,Low,3.98,11.3,70,50,70,170,90,70,50,70,90,70,90,50
71,stages software development,90,60,Medium,1.06,2.72,110,90,70,110,90,110,140,170,90,70,70,90
72,ai and software development,70,63,Medium,3.87,8.74,70,70,70,110,70,30,40,50,70,90,70,50
73,ai software development,70,63,Medium,3.87,8.74,70,70,70,110,70,30,40,50,70,90,70,50
74,app companies,70,0,Low,0,0,30,70,30,70,40,40,70,70,90,70,70,170
75,application company,70,0,Low,0,0,30,70,30,70,40,40,70,70,90,70,70,170
76,build an application,70,62,Medium,2.79,10.69,90,70,90,90,70,70,70,90,90,70,70,110
77,custom software development companies,70,39,Medium,14.33,34.36,40,20,30,590,50,10,10,20,10,50,10,40
78,custom software development firms,70,39,Medium,14.33,34.36,40,20,30,590,50,10,10,20,10,50,10,40
79,dev experience,70,6,Low,0,0,70,70,70,70,70,70,70,50,50,110,50,50
80,developer experience,70,6,Low,0,0,70,70,70,70,70,70,70,50,50,110,50,50
81,offshore app development,70,0,Low,0,0,10,0,0,720,30,0,10,10,10,10,10,0
82,offshore mobile app development,70,0,Low,0,0,10,0,0,720,30,0,10,10,10,10,10,0
83,software and website,70,93,High,2.19,10.48,50,40,40,210,50,50,50,70,70,110,40,50
84,software engineer does what,70,5,Low,0,0,70,70,70,70,70,70,50,70,50,70,40,50
85,software engineer stages,70,34,Medium,1.11,2.59,50,40,20,70,70,90,70,90,70,90,90,170
86,software life,70,14,Low,2.05,12.5,50,50,40,140,70,70,70,70,70,40,30,40
87,web and app development,70,31,Low,4.07,11.9,50,70,50,210,70,40,40,50,50,70,30,30
88,web and application development,70,31,Low,4.07,11.9,50,70,50,210,70,40,40,50,50,70,30,30
89,web app dev,70,31,Low,4.07,11.9,50,70,50,210,70,40,40,50,50,70,30,30
90,web app development,70,31,Low,4.07,11.9,50,70,50,210,70,40,40,50,50,70,30,30
91,web application dev,70,31,Low,4.07,11.9,50,70,50,210,70,40,40,50,50,70,30,30
92,web application development,70,31,Low,4.07,11.9,50,70,50,210,70,40,40,50,50,70,30,30
93,web software development,70,31,Low,4.07,11.9,50,70,50,210,70,40,40,50,50,70,30,30
94,website and app development,70,31,Low,4.07,11.9,50,70,50,210,70,40,40,50,50,70,30,30
95,website and application development,70,31,Low,4.07,11.9,50,70,50,210,70,40,40,50,50,70,30,30
96,website app development,70,31,Low,4.07,11.9,50,70,50,210,70,40,40,50,50,70,30,30
97,app tools,50,7,Low,0.99,6.55,70,70,30,40,50,40,50,50,40,50,40,40
98,developer team,50,6,Low,0,0,40,40,20,320,50,30,20,20,30,50,20,30
99,job of software developer,50,68,High,1.34,5.48,50,50,40,140,70,40,40,40,40,50,30,30
100,platform software,50,29,Low,2.66,14.16,40,30,40,170,50,30,20,70,70,90,50,20
101,software and platforms,50,29,Low,2.66,14.16,40,30,40,170,50,30,20,70,70,90,50,20
102,software companies amsterdam,50,57,Medium,2.73,9.8,140,30,30,140,20,20,140,30,20,30,20,10
103,software development processes,50,21,Low,4.02,22.22,40,40,30,260,50,40,30,40,20,30,20,20
104,team of developers,50,6,Low,0,0,40,40,20,320,50,30,20,20,30,50,20,30
105,web development company,50,45,Medium,5.99,20.4,50,40,40,30,20,90,40,70,90,110,110,30
106,app dev companies,40,60,Medium,5.56,16.09,20,30,20,90,20,20,40,90,50,90,20,20
107,app dev cost,40,76,High,2.3,9.42,50,30,30,30,40,40,40,70,40,30,10,10
108,app development companies,40,60,Medium,5.56,16.09,20,30,20,90,20,20,40,90,50,90,20,20
109,app development cost,40,76,High,2.3,9.42,50,30,30,30,40,40,40,70,40,30,10,10
110,app development firm,40,60,Medium,5.56,16.09,20,30,20,90,20,20,40,90,50,90,20,20
111,app making company,40,60,Medium,5.56,16.09,20,30,20,90,20,20,40,90,50,90,20,20
112,application development cost,40,76,High,2.3,9.42,50,30,30,30,40,40,40,70,40,30,10,10
113,application development firm,40,60,Medium,5.56,16.09,20,30,20,90,20,20,40,90,50,90,20,20
